SiteCode	Year	paramDB	paramWeb	paramDisplayLabel	onlineNames	onlineData
CLE	1966	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1965	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1964	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1963	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1962	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLC	2022	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
AFO	2022	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2021	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2020	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2019	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2018	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2017	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2016	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2015	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2014	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2013	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2012	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2011	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2010	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2009	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2008	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2007	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2006	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2005	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2004	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2003	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2002	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2001	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	2000	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	1999	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
AFO	1998	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2022	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2021	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2020	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2019	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2018	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2017	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2016	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2015	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2014	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2013	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2012	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2011	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2010	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2009	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2008	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2007	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2006	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2005	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2004	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2003	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2002	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2001	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	2000	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1999	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1998	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1997	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1996	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1995	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1994	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1993	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1992	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1991	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1990	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1989	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1988	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1987	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1986	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1985	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
GRL	1984	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2022	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2021	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2020	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2019	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2018	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2017	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2016	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2015	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2014	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2013	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2012	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2011	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2010	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2009	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2008	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2007	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2006	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2005	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2004	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2003	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2002	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2001	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	2000	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1999	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1998	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1997	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1996	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1995	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1994	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1993	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1992	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1991	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1990	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1989	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1988	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1987	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BAT	1986	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BNF	2020	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BNF	2019	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
BNF	2018	"FLOW, RIVER DISCHARGE"	Flow	Flow	River Flow (CFS)	1
